timestamp,Q
2024-01-19,2703.07
2024-01-20,2916.45
2024-01-21,3319.30
2024-01-22,3631.00
2024-01-23,3644.66
2024-01-24,3802.04
2024-01-25,4083.32
2024-01-26,4299.65
2024-01-27,4427.07
2024-01-28,4407.52
2024-01-29,4331.59
2024-01-30,4228.99
2024-01-31,4025.40
2024-02-01,3775.24
2024-02-02,3523.08
2024-02-03,3332.35
2024-02-04,3222.90
2024-02-05,3195.13
2024-02-06,3147.10
2024-02-07,3097.14
2024-02-08,3185.27
2024-02-09,3592.70
2024-02-10,4423.48
2024-02-11,5107.91
2024-02-12,5292.00
2024-02-13,5129.16
2024-02-14,4834.81
2024-02-15,4517.00
2024-02-16,4171.55
2024-02-17,3809.21
2024-02-18,3541.33
2024-02-19,3322.83
2024-02-20,3228.48
2024-02-21,3206.39
2024-02-22,3213.25
2024-02-23,3325.64
2024-02-24,3698.01
2024-02-25,4371.61
2024-02-26,4663.81
2024-02-27,4634.04
2024-02-28,4381.29
2024-02-29,4085.55
2024-03-01,3758.82
2024-03-02,3444.47
2024-03-03,3175.23
2024-03-04,2976.31
2024-03-05,2801.55
2024-03-06,2669.13
2024-03-07,2540.49
2024-03-08,2432.60
2024-03-09,2347.73
2024-03-10,2328.71
2024-03-11,2343.97
2024-03-12,2416.09
2024-03-13,2419.10
2024-03-14,2427.68
2024-03-15,2583.99
2024-03-16,2746.30
2024-03-17,2900.42
2024-03-18,2912.75
2024-03-19,2911.39
2024-03-20,2919.17
2024-03-21,2911.00
2024-03-22,2981.62
2024-03-23,3012.03
2024-03-24,2961.93
2024-03-25,2866.02
2024-03-26,2837.49
2024-03-27,2807.99
2024-03-28,2760.30
2024-03-29,2693.46
2024-03-30,2644.75
2024-03-31,2670.73
2024-04-01,2789.15
2024-04-02,2857.28
2024-04-03,2990.09
2024-04-04,3331.12
2024-04-05,3483.40
2024-04-06,3580.62
2024-04-07,3694.29
2024-04-08,3546.75
2024-04-09,3286.07
2024-04-10,2986.03
2024-04-11,2744.49
2024-04-12,2553.58
2024-04-13,2447.10
2024-04-14,2360.09
2024-04-15,2325.67
2024-04-16,2294.43
2024-04-17,2261.55
2024-04-18,2267.61
2024-04-19,2353.24
2024-04-20,2555.35
2024-04-21,2774.15
2024-04-22,2933.43
2024-04-23,3026.27
2024-04-24,3068.06
2024-04-25,3064.70
2024-04-26,2960.94
2024-04-27,2822.20
2024-04-28,2679.95
2024-04-29,2543.56
2024-04-30,2449.49
2024-05-01,2386.16
2024-05-02,2347.34
2024-05-03,2420.16
2024-05-04,2579.01
2024-05-05,2783.97
2024-05-06,2825.25
2024-05-07,2786.07
2024-05-08,3064.70
2024-05-09,3320.82
2024-05-10,3220.48
2024-05-11,3000.03
2024-05-12,2878.81
2024-05-13,2719.52
2024-05-14,2549.24
2024-05-15,2401.31
2024-05-16,2316.40
2024-05-17,2322.60
2024-05-18,2405.23
2024-05-19,2979.46
2024-05-20,4342.65
2024-05-21,5020.75
2024-05-22,4958.32
2024-05-23,4380.21
2024-05-24,4008.59
2024-05-25,3930.15
2024-05-26,3855.67
2024-05-27,3850.91
2024-05-28,3771.89
2024-05-29,3530.35
2024-05-30,3309.27
2024-05-31,3218.30
2024-06-01,3444.63
2024-06-02,3564.29
2024-06-03,3738.82
2024-06-04,4287.80
2024-06-05,4852.41
2024-06-06,5285.95
2024-06-07,5323.48
2024-06-08,5085.50
2024-06-09,4660.17
2024-06-10,4233.57
2024-06-11,3888.27
2024-06-12,3660.30
2024-06-13,3545.48
2024-06-14,3518.68
2024-06-15,3508.96
2024-06-16,3418.95
2024-06-17,3312.41
2024-06-18,3238.79
2024-06-19,3263.82
2024-06-20,3209.59
2024-06-21,3072.62
2024-06-22,3031.82
2024-06-23,2962.48
2024-06-24,2917.71
2024-06-25,2928.25
2024-06-26,2964.45
2024-06-27,2991.84
2024-06-28,2949.25
2024-06-29,2885.10
2024-06-30,2905.63
2024-07-01,3026.57
2024-07-02,3104.86
2024-07-03,3141.11
2024-07-04,3138.50
2024-07-05,3073.79
2024-07-06,3046.01
2024-07-07,3014.34
2024-07-08,2949.10
2024-07-09,2906.42
2024-07-10,2902.52
2024-07-11,2883.51
2024-07-12,2867.27
2024-07-13,2883.19
2024-07-14,2848.36
2024-07-15,2828.58
2024-07-16,2841.45
2024-07-17,2828.98
2024-07-18,2780.32
2024-07-19,2678.64
2024-07-20,2626.42
2024-07-21,2574.64
2024-07-22,2481.74
2024-07-23,2405.35
2024-07-24,2366.84
2024-07-25,2325.95
2024-07-26,2302.85
2024-07-27,2269.39
2024-07-28,2252.33
2024-07-29,2374.89
2024-07-30,2368.64
2024-07-31,2248.68
2024-08-01,2121.93
2024-08-02,2070.32
2024-08-03,2109.22
2024-08-04,2150.28
2024-08-05,2313.17
2024-08-06,2280.45
2024-08-07,2135.90
2024-08-08,2003.03
2024-08-09,1904.59
2024-08-10,1828.09
2024-08-11,1780.18
2024-08-12,1748.53
2024-08-13,1701.96
2024-08-14,1682.68
2024-08-15,1640.61
2024-08-16,1634.21
2024-08-17,1672.42
2024-08-18,1677.34
2024-08-19,1685.39
2024-08-20,1640.96
2024-08-21,1647.11
2024-08-22,1673.46
2024-08-23,1709.18
2024-08-24,1694.71
2024-08-25,1661.35
2024-08-26,1623.77
2024-08-27,1555.91
2024-08-28,1486.11
2024-08-29,1443.86
2024-08-30,1386.70
2024-08-31,1335.82
2024-09-01,1289.37
2024-09-02,1262.13
2024-09-03,1271.60
2024-09-04,1247.02
2024-09-05,1294.09
2024-09-06,1366.66
2024-09-07,1417.36
2024-09-08,1442.91
2024-09-09,1455.25
2024-09-10,1460.68
2024-09-11,1480.50
2024-09-12,1526.70
2024-09-13,1522.90
2024-09-14,1575.66
2024-09-15,1636.49
2024-09-16,1709.72
2024-09-17,1703.08
2024-09-18,1676.60
2024-09-19,1627.21
2024-09-20,1580.88
2024-09-21,1525.50
2024-09-22,1472.31
2024-09-23,1420.62
2024-09-24,1375.97
